epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2611.37,1.72525,0.94417,1.31043,0.5955,0.56181,0.54831,0.22106,2.1707,1.22066,1.72782,0.0005744,0.0005744,0.0005744
74,2668.86,1.71952,0.93965,1.30387,0.5872,0.57227,0.55781,0.22643,2.16272,1.23459,1.72938,0.0005546,0.0005546,0.0005546
75,2732.03,1.72396,0.93745,1.29369,0.58285,0.58645,0.5578,0.22363,2.17053,1.24051,1.73212,0.0005348,0.0005348,0.0005348
76,2794.21,1.71963,0.93589,1.29388,0.60547,0.5658,0.55688,0.22459,2.17666,1.23591,1.73928,0.000515,0.000515,0.000515
77,2866.91,1.69295,0.91833,1.28933,0.58769,0.58067,0.55913,0.22735,2.16452,1.23264,1.73621,0.0004952,0.0004952,0.0004952
78,2934.15,1.70259,0.91982,1.29562,0.60688,0.58762,0.57824,0.23349,2.18185,1.21511,1.7608,0.0004754,0.0004754,0.0004754
79,2999.8,1.6916,0.90456,1.27619,0.58724,0.56388,0.54906,0.22024,2.1812,1.24557,1.75809,0.0004556,0.0004556,0.0004556
80,3037.82,1.67906,0.91135,1.27811,0.59161,0.58838,0.56423,0.2246,2.17851,1.22711,1.75097,0.0004358,0.0004358,0.0004358
81,3074,1.68514,0.9114,1.30276,0.58644,0.58232,0.5599,0.22656,2.17158,1.21302,1.74436,0.000416,0.000416,0.000416
82,3110.12,1.67463,0.90182,1.28892,0.60052,0.5691,0.5603,0.22543,2.18205,1.22221,1.75757,0.0003962,0.0003962,0.0003962
83,3146.16,1.6781,0.90551,1.29726,0.59253,0.58376,0.56911,0.22905,2.1837,1.21938,1.75503,0.0003764,0.0003764,0.0003764
84,3182.03,1.67284,0.89075,1.27018,0.59913,0.58411,0.56223,0.227,2.17875,1.22007,1.76563,0.0003566,0.0003566,0.0003566
85,3217.85,1.65192,0.88176,1.27285,0.59227,0.58219,0.55879,0.22468,2.18796,1.23132,1.76499,0.0003368,0.0003368,0.0003368
86,3253.5,1.64754,0.87976,1.26797,0.60994,0.57239,0.56543,0.22625,2.19507,1.22837,1.77964,0.000317,0.000317,0.000317
87,3289.07,1.64843,0.87735,1.26509,0.59917,0.5799,0.56638,0.2263,2.18089,1.21534,1.7615,0.0002972,0.0002972,0.0002972
88,3324.99,1.63675,0.87213,1.27122,0.5944,0.58232,0.56076,0.22647,2.18733,1.22266,1.76435,0.0002774,0.0002774,0.0002774
89,3360.75,1.6277,0.87598,1.26932,0.60476,0.56641,0.55966,0.22591,2.19139,1.23089,1.77944,0.0002576,0.0002576,0.0002576
90,3396.71,1.6241,0.86435,1.2619,0.6003,0.57354,0.56152,0.22726,2.1812,1.22235,1.77386,0.0002378,0.0002378,0.0002378
91,3438.63,1.64337,0.8595,1.3282,0.58907,0.57076,0.54614,0.21615,2.19922,1.22821,1.7768,0.000218,0.000218,0.000218
92,3473.78,1.6358,0.84932,1.3247,0.60286,0.56236,0.55035,0.21778,2.19457,1.24893,1.77843,0.0001982,0.0001982,0.0001982
93,3509.13,1.62853,0.84015,1.30712,0.60404,0.57669,0.55651,0.22345,2.1856,1.24286,1.77666,0.0001784,0.0001784,0.0001784
94,3544.51,1.61728,0.82855,1.30265,0.60565,0.5717,0.55328,0.2192,2.20041,1.24373,1.79258,0.0001586,0.0001586,0.0001586
95,3579.79,1.60378,0.82954,1.30753,0.60203,0.57172,0.55254,0.22148,2.19523,1.24713,1.79012,0.0001388,0.0001388,0.0001388
96,3614.95,1.59753,0.81567,1.30428,0.59228,0.57351,0.54983,0.21773,2.20765,1.2472,1.79395,0.000119,0.000119,0.000119
97,3650.34,1.60003,0.81941,1.28685,0.60127,0.56938,0.54775,0.21803,2.19758,1.25903,1.79388,9.92e-05,9.92e-05,9.92e-05
98,3685.6,1.58293,0.80662,1.29703,0.6057,0.56718,0.55314,0.21923,2.20555,1.24683,1.79933,7.94e-05,7.94e-05,7.94e-05
99,3720.85,1.57846,0.80901,1.28939,0.59987,0.57521,0.55602,0.22187,2.20373,1.2499,1.79965,5.96e-05,5.96e-05,5.96e-05
100,3756.23,1.5785,0.80323,1.28895,0.59869,0.57503,0.55381,0.22218,2.19953,1.2518,1.80006,3.98e-05,3.98e-05,3.98e-05
